id,name,pkg,lead_ext,category,state,url,license,tags,version,repo,lang,contrib,lead,has_bin,has_lib,need_ddl,need_load,trusted,relocatable,schemas,pg_ver,requires,require_by,see_also,rpm_ver,rpm_repo,rpm_pkg,rpm_pg,rpm_deps,deb_ver,deb_repo,deb_pkg,deb_deps,deb_pg,source,extra,en_desc,zh_desc,comment,mtime
1100,pg_background,pg_background,pg_background,TIME,available,https://github.com/vibhorkum/pg_background,GPL-3.0,,1.5,MIXED,C,f,t,f,t,t,f,f,t,,"{18,17,16,15,14,13}",,,"{pg_cron,pg_task,pg_later,pgq,timescaledb,timescaledb_toolkit,timeseries,periods}",1.5,PGDG,pg_background_$v*,"{18,17,16,15,14,13}",,1.5,PIGSTY,postgresql-$v-pg-background,,"{18,17,16,15,14,13}",pg_background-1.5.tar.gz,{},Run SQL queries in the background,在后台运行 SQL 查询,,2025-11-04
1500,postgis,postgis,postgis,GIS,available,https://git.osgeo.org/gitea/postgis/postgis,GPL-2.0,,3.6.1,PGDG,C,f,t,f,t,t,f,f,f,,"{18,17,16,15,14,13}",,"{documentdb,h3_postgis,mobilitydb,pgrouting,pointcloud_postgis,postgis_raster,postgis_sfcgal,postgis_tiger_geocoder,postgis_topology}","{pointcloud,h3,pg_geohash,geoip,pg_polyline,earthdistance,ogr_fdw,tzf}",3.6.0,PGDG,postgis36_$v*,"{18,17,16,15,14,13}",,3.6.1,PGDG,postgresql-$v-postgis-3 postgresql-$v-postgis-3-scripts,,"{18,17,16,15,14,13}",,{},PostGIS geometry and geography spatial types and functions,PostGIS 几何和地理空间扩展,,2025-09-06
1501,postgis_topology,postgis,postgis,GIS,available,https://git.osgeo.org/gitea/postgis/postgis,GPL-2.0,,3.6.1,PGDG,C,f,f,f,t,t,f,f,f,{topology},"{18,17,16,15,14,13}",{postgis},,"{pgrouting,pointcloud,pointcloud_postgis,h3,h3_postgis,q3c,ogr_fdw,geoip}",3.6.0,PGDG,postgis36_$v*,"{18,17,16,15,14,13}",,3.6.1,PGDG,postgresql-$v-postgis-3 postgresql-$v-postgis-3-scripts,,"{18,17,16,15,14,13}",,{},PostGIS topology spatial types and functions,PostGIS 拓扑空间类型和函数,,2025-09-06
1502,postgis_raster,postgis,postgis,GIS,available,https://git.osgeo.org/gitea/postgis/postgis,GPL-2.0,,3.6.1,PGDG,C,f,f,f,t,t,f,f,f,,"{18,17,16,15,14,13}",{postgis},{h3_postgis},"{pointcloud_postgis,pointcloud,pgrouting,h3,q3c,ogr_fdw,geoip,pg_polyline}",3.6.0,PGDG,postgis36_$v*,"{18,17,16,15,14,13}",,3.6.1,PGDG,postgresql-$v-postgis-3 postgresql-$v-postgis-3-scripts,,"{18,17,16,15,14,13}",,{},PostGIS raster types and functions,PostGIS 光栅类型和函数,,2025-09-06
1503,postgis_sfcgal,postgis,postgis,GIS,available,https://git.osgeo.org/gitea/postgis/postgis,GPL-2.0,,3.6.1,PGDG,C,f,f,f,t,t,f,f,t,,"{18,17,16,15,14,13}",{postgis},,"{pgrouting,pointcloud,pointcloud_postgis,h3,h3_postgis,q3c,ogr_fdw,geoip}",3.6.0,PGDG,postgis36_$v*,"{18,17,16,15,14,13}",,3.6.1,PGDG,postgresql-$v-postgis-3 postgresql-$v-postgis-3-scripts,,"{18,17,16,15,14,13}",,{},PostGIS SFCGAL functions,PostGIS SFCGAL 函数,,2025-09-06
1504,postgis_tiger_geocoder,postgis,postgis,GIS,available,https://git.osgeo.org/gitea/postgis/postgis,GPL-2.0,,3.6.1,PGDG,C,f,f,f,t,t,f,t,f,{tiger},"{18,17,16,15,14,13}","{postgis,fuzzystrmatch}",,"{pgrouting,pointcloud,pointcloud_postgis,h3,h3_postgis,q3c,ogr_fdw,geoip}",3.6.0,PGDG,postgis36_$v*,"{18,17,16,15,14,13}",,3.6.1,PGDG,postgresql-$v-postgis-3 postgresql-$v-postgis-3-scripts,,"{18,17,16,15,14,13}",,{},PostGIS tiger geocoder and reverse geocoder,PostGIS tiger 地理编码器和反向地理编码器,,2025-09-06
1505,address_standardizer,postgis,postgis,GIS,available,https://git.osgeo.org/gitea/postgis/postgis,GPL-2.0,,3.6.1,PGDG,C,f,f,f,t,t,f,f,t,,"{18,17,16,15,14,13}",,,"{pgrouting,pointcloud,pointcloud_postgis,h3,h3_postgis,q3c,ogr_fdw,geoip}",3.6.0,PGDG,postgis36_$v*,"{18,17,16,15,14,13}",,3.6.1,PGDG,postgresql-$v-postgis-3 postgresql-$v-postgis-3-scripts,,"{18,17,16,15,14,13}",,{},Used to parse an address into constituent elements. Generally used to support geocoding address normalization step.,地址标准化函数。,,2025-09-06
1506,address_standardizer_data_us,postgis,postgis,GIS,available,https://git.osgeo.org/gitea/postgis/postgis,GPL-2.0,,3.6.1,PGDG,C,f,f,f,t,t,f,f,t,,"{18,17,16,15,14,13}",,,"{pgrouting,pointcloud,pointcloud_postgis,h3,h3_postgis,q3c,ogr_fdw,geoip}",3.6.0,PGDG,postgis36_$v*,"{18,17,16,15,14,13}",,3.6.0,PGDG,postgresql-$v-postgis-3 postgresql-$v-postgis-3-scripts,,"{18,17,16,15,14,13}",,{},Address Standardizer US dataset example,地址标准化函数：美国数据集示例,,2025-09-06
1510,pgrouting,pgrouting,pgrouting,GIS,available,https://github.com/pgRouting/pgrouting,GPL-2.0,,3.8.0,PGDG,C++,f,t,f,t,t,f,f,t,,"{18,17,16,15,14,13}",{postgis},,"{postgis_topology,mobilitydb,pg_polyline,postgis_raster,postgis_sfcgal,postgis_tiger_geocoder,address_standardizer,address_standardizer_data_us}",3.8.0,PGDG,pgrouting_$v*,"{18,17,16,15,14,13}",,3.8.0,PGDG,postgresql-$v-pgrouting postgresql-$v-pgrouting-scripts,,"{18,17,16,15,14,13}",,{},pgRouting Extension,提供寻路能力,pg17 on deb not ready,2025-09-06
1520,pointcloud,pointcloud,pointcloud,GIS,available,https://github.com/pgpointcloud/pointcloud,BSD 3-Clause,,1.2.5,PGDG,C,f,t,f,t,t,f,f,f,,"{18,17,16,15,14,13}",,{pointcloud_postgis},"{postgis,postgis_raster,postgis_topology,postgis_sfcgal,postgis_tiger_geocoder,address_standardizer,address_standardizer_data_us,pgrouting}",1.2.5,PGDG,pointcloud_$v*,"{18,17,16,15,14,13}",,1.2.5,PGDG,postgresql-$v-pointcloud,,"{18,17,16,15,14,13}",pointcloud-1.2.5.tar.gz,{},data type for lidar point clouds,提供激光雷达点云数据类型支持,,2025-09-06
1521,pointcloud_postgis,pointcloud,pointcloud,GIS,available,https://github.com/pgpointcloud/pointcloud,BSD 3-Clause,,1.2.5,PGDG,C,f,f,f,t,t,f,t,f,,"{18,17,16,15,14,13}","{postgis,pointcloud}",,"{postgis_raster,postgis_topology,postgis_sfcgal,postgis_tiger_geocoder,address_standardizer,address_standardizer_data_us,pgrouting,h3}",1.2.5,PGDG,pointcloud_$v*,"{18,17,16,15,14,13}",,1.2.5,PGDG,postgresql-$v-pointcloud,,"{18,17,16,15,14,13}",pointcloud-1.2.5.tar.gz,{},integration for pointcloud LIDAR data and PostGIS geometry data,将激光雷达点云与PostGIS几何类型相集成,,2025-09-06
1530,h3,pg_h3,h3,GIS,available,https://github.com/zachasme/h3-pg,Apache-2.0,,4.2.3,PGDG,C,f,t,f,t,t,f,f,t,,"{18,17,16,15,14,13}",,{h3_postgis},"{postgis,q3c,pg_geohash,postgis_topology,postgis_raster,postgis_sfcgal,postgis_tiger_geocoder,address_standardizer}",4.2.3,PGDG,h3-pg_$v*,"{18,17,16,15,14,13}",,4.2.3,PGDG,postgresql-$v-h3,,"{18,17,16,15,14,13}",,{},H3 bindings for PostgreSQL,H3六边形层级索引支持,pgdg missing el8.x86.pg17 and el8.x86.pg18,2025-11-10
1531,h3_postgis,pg_h3,h3,GIS,available,https://github.com/zachasme/h3-pg,Apache-2.0,,4.2.3,PGDG,C,f,f,f,t,t,f,f,t,,"{18,17,16,15,14,13}","{h3,postgis,postgis_raster}",,"{mobilitydb,postgis_topology,postgis_sfcgal,postgis_tiger_geocoder,address_standardizer,address_standardizer_data_us,pgrouting,pointcloud}",4.2.3,PGDG,h3-pg_$v*,"{18,17,16,15,14,13}",,4.2.3,PGDG,postgresql-$v-h3,,"{18,17,16,15,14,13}",,{},H3 PostGIS integration,H3与PostGIS集成的扩展插件,pgdg missing el8.x86.pg17 and el8.x86.pg18,2025-11-10
1540,q3c,q3c,q3c,GIS,available,https://github.com/segasai/q3c,GPL-2.0,,2.0.1,MIXED,C,f,t,f,t,t,f,f,t,,"{18,17,16,15,14,13}",,,"{h3,pg_geohash,earthdistance,pg_sphere,postgis,postgis_topology,postgis_raster,postgis_sfcgal}",2.0.1,PIGSTY,q3c_$v*,"{18,17,16,15,14,13}",,2.0.1,PGDG,postgresql-$v-q3c,,"{18,17,16,15,14,13}",q3c-2.0.1.tar.gz,{},q3c sky indexing plugin,Q3C天空索引插件,,2025-09-06
1550,ogr_fdw,ogr_fdw,ogr_fdw,GIS,available,https://github.com/pramsey/pgsql-ogr-fdw,MIT,,1.1.7,PGDG,C,f,t,f,t,t,f,f,t,,"{18,17,16,15,14,13}",,,"{postgis,file_fdw,postgres_fdw,postgis_topology,postgis_raster,postgis_sfcgal,postgis_tiger_geocoder,address_standardizer}",1.1.7,PGDG,ogr_fdw_$v*,"{18,17,16,15,14,13}",,1.1.7,PGDG,postgresql-$v-ogr-fdw,,"{18,17,16,15,14,13}",,{},foreign-data wrapper for GIS data access,GIS 数据外部数据源包装器,,2025-09-06
1560,geoip,geoip,geoip,GIS,available,https://github.com/tvondra/geoip,BSD 2-Clause,{pgdg-flaw},0.3.0,MIXED,SQL,f,t,f,t,t,f,f,f,{geoip},"{18,17,16,15,14,13}",{ip4r},,"{postgis,tzf,country,postgis_topology,postgis_raster,postgis_sfcgal,postgis_tiger_geocoder,address_standardizer}",0.3.0,PIGSTY,geoip_$v,"{18,17,16,15,14,13}",,0.3.0,PIGSTY,postgresql-$v-geoip,,"{18,17,16,15,14,13}",geoip-0.3.0.tar.gz,{},IP-based geolocation query,IP 地理位置扩展（围绕 MaxMind GeoLite 数据集的包装器）,"no pg17 on el9, no pg13 on el8",2025-09-06
1570,pg_polyline,pg_polyline,pg_polyline,GIS,available,https://github.com/yihong0618/pg_polyline,MIT,{pgrx},0.0.1,PIGSTY,Rust,f,t,f,t,t,f,t,f,,"{18,17,16,15,14,13}",,,"{postgis,pgrouting,pg_geohash,postgis_topology,postgis_raster,postgis_sfcgal,postgis_tiger_geocoder,address_standardizer}",0.0.1,PIGSTY,pg_polyline_$v,"{18,17,16,15,14,13}",,0.0.1,PIGSTY,postgresql-$v-pg-polyline,,"{18,17,16,15,14,13}",pg_polyline-0.0.1.tar.gz,"{""pgrx"": ""0.16.1""}",Fast Google Encoded Polyline encoding & decoding for postgres,Google快速Polyline编码解码扩展,,2025-11-02
1590,pg_geohash,pg_geohash,pg_geohash,GIS,available,https://github.com/jistok/pg_geohash,MIT,{nil-lic},1.0,PIGSTY,C,f,t,f,t,t,f,f,t,,"{18,17,16,15,14,13}",,,"{postgis,h3,q3c,pg_polyline,postgis_topology,postgis_raster,postgis_sfcgal,postgis_tiger_geocoder}",1.0,PIGSTY,pg_geohash_$v*,"{18,17,16,15,14,13}",,1.0,PIGSTY,postgresql-$v-pg-geohash,,"{18,17,16,15,14,13}",pg_geohash-1.0.tar.gz,{},Handle geohash based functionality for spatial coordinates,使用GeoHash处理空间坐标的函数包,,2025-09-06
1650,mobilitydb,mobilitydb,mobilitydb,GIS,available,https://github.com/MobilityDB/MobilityDB,GPL-3.0,,1.3.0,PGDG,C,f,t,f,t,t,f,f,t,,"{18,17,16,15,14,13}",{postgis},,"{pgrouting,h3_postgis,timescaledb,postgis_topology,postgis_raster,postgis_sfcgal,postgis_tiger_geocoder,address_standardizer}",,,,,,1.3.0,PGDG,postgresql-$v-mobilitydb,,"{18,17,16,15,14,13}",,{},MobilityDB geospatial trajectory data management & analysis platform,MobilityDB地理空间投影数据管理分析平台,need another schema,2025-02-20
1680,tzf,pg_tzf,tzf,GIS,available,https://github.com/ringsaturn/pg-tzf,MIT,{pgrx},0.2.3,PIGSTY,Rust,f,t,f,t,t,f,f,f,,"{18,17,16,15,14}",,,"{postgis,geoip,pg_cron,postgis_topology,postgis_raster,postgis_sfcgal,postgis_tiger_geocoder,address_standardizer}",0.2.3,PIGSTY,pg_tzf_$v,"{18,17,16,15,14}",,0.2.3,PIGSTY,postgresql-$v-tzf,,"{18,17,16,15,14}",pg-tzf-0.2.3.tar.gz,"{""pgrx"": ""0.16.1""}",Fast lookup timezone name by GPS coordinates,快速根据GPS经纬度坐标查找时区,,2025-11-02
1690,earthdistance,earthdistance,earthdistance,GIS,available,https://www.postgresql.org/docs/current/earthdistance.html,PostgreSQL,,1.2,CONTRIB,C,t,t,f,t,t,f,f,,,"{18,17,16,15,14,13}",{cube},,"{postgis,q3c,pg_sphere,postgis_topology,postgis_raster,postgis_sfcgal,postgis_tiger_geocoder,address_standardizer}",1.2,CONTRIB,postgresql$v-contrib,"{18,17,16,15,14,13}",,1.2,CONTRIB,postgresql-$v,,"{18,17,16,15,14,13}",,{},calculate great-circle distances on the surface of the Earth,计算地球表面上的大圆距离,,2025-09-06
1800,vector,pgvector,vector,RAG,available,https://github.com/pgvector/pgvector,PostgreSQL,,0.8.1,PGDG,C,f,t,f,t,t,f,f,t,,"{18,17,16,15,14,13}",,"{documentdb,vchord,vectorize,vectorscale}","{pg_bestmatch,pg_summarize,pg_tiktoken,pg4ml,pgml,pg_similarity,smlar,pg_search}",0.8.1,PGDG,pgvector_$v*,"{18,17,16,15,14,13}",,0.8.1,PGDG,postgresql-$v-pgvector,,"{18,17,16,15,14,13}",pgvector-0.8.1.tar.gz,{},vector data type and ivfflat and hnsw access methods,向量数据类型和 ivfflat / hnsw 访问方法,,2025-02-20
1810,vchord,vchord,vchord,RAG,available,https://github.com/tensorchord/VectorChord,AGPL-3.0,{pgrx},1.0.0,PIGSTY,Rust,f,t,f,t,t,t,f,t,,"{18,17,16,15,14}",{vector},,"{vectorscale,vectorize,vchord_bm25,pg_tiktoken,pgml,pg_bestmatch,pg_similarity,smlar}",1.0.0,PIGSTY,vchord_$v,"{18,17,16,15,14}",{pgvector_$v},1.0.0,PIGSTY,postgresql-$v-vchord,{postgresql-$v-pgvector},"{18,17,16,15,14}",VectorChord-1.0.0.tar.gz,"{""pgrx"": ""0.16.1""}","Vector database plugin for Postgres, written in Rust",使用Rust重写的高性能向量扩展,,2025-11-17
1820,vectorscale,pgvectorscale,vectorscale,RAG,available,https://github.com/timescale/pgvectorscale,PostgreSQL,{pgrx},0.9.0,PIGSTY,Rust,f,t,f,t,t,f,f,f,,"{18,17,16,15,14}",{vector},,"{vchord,vectorize,pg_summarize,pg_tiktoken,pg4ml,pgml,vchord_bm25,pg_similarity}",0.9.0,PIGSTY,pgvectorscale_$v,"{18,17,16,15,14}",{pgvector_$v},0.9.0,PIGSTY,postgresql-$v-pgvectorscale,{postgresql-$v-pgvector},"{18,17,16,15,14}",pgvectorscale-0.9.0.tar.gz,"{""pgrx"": ""0.16.1""}",Advanced indexing for vector data with DiskANN,使用DiskANN算法对向量进行高效索引,,2025-11-17
1830,vectorize,pg_vectorize,vectorize,RAG,available,https://github.com/ChuckHend/pg_vectorize,PostgreSQL,{pgrx},0.25.0,PIGSTY,Rust,f,t,f,t,t,f,f,f,{vectorize},"{18,17,16,15,14}","{pg_cron,pgmq,vector}",,"{vchord,vectorscale,pg_summarize,pg_tiktoken,pg4ml,pgml,pg_later,pg_similarity}",0.25.0,PIGSTY,pg_vectorize_$v,"{18,17,16,15,14}","{pgmq_$v,pg_cron_$v,pgvector_$v}",0.25.0,PIGSTY,postgresql-$v-pg-vectorize,"{postgresql-$v-pgmq,postgresql-$v-pg-cron,postgresql-$v-pgvector}","{18,17,16,15,14}",pg_vectorize-0.25.0.tar.gz,"{""pgrx"": ""0.16.1""}",The simplest way to do vector search on Postgres,在PostgreSQL中封装RAG向量检索服务,PG18 fix by https://github.com/Vonng/pg_vectorize,2025-11-02
1840,pg_similarity,pg_similarity,pg_similarity,RAG,available,https://github.com/eulerto/pg_similarity,BSD 3-Clause,,1.0,MIXED,C,f,t,f,t,t,f,f,t,,"{18,17,16,15,14,13}",,,"{vector,smlar,fuzzystrmatch,pg_trgm,vchord,pg_bigm,citext,unaccent}",1.0,PIGSTY,pg_similarity_$v*,"{18,17,16,15,14,13}",,1.0,PGDG,postgresql-$v-similarity,,"{18,17,16,15,14,13}",pg_similarity-1.0.tar.gz,{},support similarity queries,提供17种距离度量函数,,2025-09-06
1850,smlar,smlar,smlar,RAG,available,https://github.com/jirutka/smlar,PostgreSQL,{nil-lic},1.0,PIGSTY,C,f,t,f,t,t,f,,t,,"{18,17,16,15,14,13}",,,"{pg_similarity,fuzzystrmatch,pg_trgm,intarray,vector,pg_bigm,unaccent,vchord}",1.0,PIGSTY,smlar_$v*,"{18,17,16,15,14,13}",,1.0,PIGSTY,postgresql-$v-smlar,,"{18,17,16,15,14,13}",smlar-1.0.tar.gz,{},Effective similarity search,高效的相似度搜索函数,fix pg18 break issue by https://github.com/Vonng/smlar,2025-11-01
1860,pg_summarize,pg_summarize,pg_summarize,RAG,available,https://github.com/HexaCluster/pg_summarize,PostgreSQL,{pgrx},0.0.1,PIGSTY,Rust,f,t,f,t,t,f,f,f,,"{18,17,16,15,14,13}",,,"{vectorize,pg_tiktoken,pg4ml,pgml,vector,vchord,vectorscale,pg_net}",0.0.1,PIGSTY,pg_summarize_$v,"{18,17,16,15,14,13}",,0.0.1,PIGSTY,postgresql-$v-pg-summarize,,"{18,17,16,15,14,13}",pg_summarize-0.0.1.tar.gz,"{""pgrx"": ""0.16.1""}",Text Summarization using LLMs. Built using pgrx,使用LLM对文本字段进行总结,PG18 fix by https://github.com/Vonng/pg_summarize,2025-11-02
1870,pg_tiktoken,pg_tiktoken,pg_tiktoken,RAG,available,https://github.com/kelvich/pg_tiktoken,Apache-2.0,{pgrx},0.0.1,PIGSTY,Rust,f,t,f,t,t,f,f,f,,"{18,17,16,15,14,13}",,,"{vectorize,pg_summarize,pg4ml,pgml,vector,vchord,vectorscale,pg_graphql}",0.0.1,PIGSTY,pg_tiktoken_$v,"{18,17,16,15,14,13}",,0.0.1,PIGSTY,postgresql-$v-pg-tiktoken,,"{18,17,16,15,14,13}",pg_tiktoken-0.0.1.tar.gz,"{""pgrx"": ""0.16.1""}",tiktoken tokenizer for use with OpenAI models in postgres,在PostgreSQL中计算OpenAI使用的Token数,,2025-10-31
1880,pg4ml,pg4ml,pg4ml,RAG,available,https://gitee.com/guotiecheng/plpgsql_pg4ml,AGPL-3.0,,2.0,PIGSTY,C,f,t,f,f,t,f,t,t,,"{18,17,16,15,14,13}","{plpgsql,tablefunc,cube,plpython3u}",,"{pgml,vectorize,pg_summarize,pg_tiktoken,vector,vchord,vectorscale,pg_strom}",2.0,PIGSTY,pg4ml_$v,"{18,17,16,15,14,13}",,2.0,PIGSTY,postgresql-$v-pg4ml,,"{18,17,16,15,14,13}",pg4ml-2.0.tar.gz,{},Machine learning framework for PostgreSQL,PG4ML是一个机器学习框架,require python3,2025-09-06
1890,pgml,pgml,pgml,RAG,available,https://github.com/postgresml/postgresml,MIT,{pgrx},2.10.0,PIGSTY,Rust,f,t,f,t,t,t,f,f,{pgml},"{17,16,15,14}",,,"{pg4ml,vectorize,pg_summarize,pg_tiktoken,vector,vchord,vectorscale,pg_strom}",2.10.0,PIGSTY,pgml_$v,"{17,16,15,14,13}",,2.10.0,PIGSTY,postgresql-$v-pgml,,"{17,16,15,14}",pgml-2.10.0.tar.gz,"{""pgrx"": ""0.12.9""}",Run AL/ML workloads with SQL interface,PostgresML：用SQL运行机器学习算法并训练模型,pgrx=0.12.9,2025-02-20
2100,pg_search,pg_search,pg_search,FTS,available,https://github.com/paradedb/paradedb/tree/dev/pg_search,AGPL-3.0,{pgrx},0.20.0,PIGSTY,Rust,f,t,f,t,t,f,t,f,{paradedb},"{17,16,15,14}",,,"{pgroonga,pgroonga_database,pg_bestmatch,vchord_bm25,pg_bigm,zhparser,pg_tokenizer,pg_trgm}",0.20.0,PIGSTY,pg_search_$v,"{17,16,15,14}",,0.20.0,PIGSTY,postgresql-$v-pg-search,,"{17,16,15,14}",pg_search-0.20.0.tar.gz,"{""pgrx"": ""0.16.1""}",Full text search for PostgreSQL using BM25,ParadeDB BM25算法全文检索插件，ES全文检索,PG 17+ does not require dynamic loading ,2025-11-22
